id,cena_pln,log_cena_pln,metraz_m2,log_metraz_m2,cena_za_m2,liczba_pokoi,pietro,pietro_maks,parter,ostatnie_pietro,dzielnica,data_pobrania
ID4ACMm,609480,13.32036141358329,50.79,3.9276994848131537,12000.0,3,1.0,3.0,False,0.0,Nowa Huta,2026-08-05
ID1bzjbq,825000,13.623138665316818,63.0,4.143134726391533,13095.24,3,2.0,,False,,Mistrzejowice,2026-08-05
ID4Cumu,722000,13.489780417874965,48.5,3.8815637979434374,14886.6,3,1.0,2.0,False,0.0,Prądnik Biały,2026-08-05
ID4BfaQ,3910200,15.179099081548529,133.13,4.8913260944438255,29371.29,4,1.0,1.0,False,1.0,Zwierzyniec,2026-08-05
ID4Cqll,535000,13.190022025878145,25.0,3.218875824868201,21400.0,1,4.0,4.0,False,1.0,Krowodrza,2026-08-05
ID4ulBk,959994,13.774682313424488,66.62,4.199004832765533,14410.0,3,2.0,3.0,False,0.0,Prądnik Biały,2026-08-05
ID4BX8G,1258000,14.045033716242523,71.0,4.2626798770413155,17718.31,3,2.0,3.0,False,0.0,Podgórze,2026-08-05
ID4zBkV,899000,13.709038313453757,66.79,4.201553368737545,13460.1,3,0.0,5.0,True,0.0,Dębniki,2026-08-05
ID4Cj1b,717500,13.483528226615912,41.08,3.715521385060357,17465.92,2,2.0,13.0,False,0.0,Krowodrza,2026-08-05
ID4Bjq7,549000,13.215853720491667,39.1,3.66612246699132,14040.92,2,0.0,4.0,True,0.0,Mistrzejowice,2026-08-05
ID1btWdC,389000,12.871334622600584,20.88,3.038791763014438,18630.27,1,3.0,,False,,Nowa Huta,2026-08-05
ID4ChEz,500000,13.122363377404328,37.1,3.6136169696133895,13477.09,2,1.0,4.0,False,0.0,nieznana,2026-08-05
ID4CqBl,619000,13.335860551666734,37.81,3.6325736179028416,16371.33,2,9.0,10.0,False,0.0,Bieńczyce,2026-08-05
ID4BQwz,550000,13.217673557208654,36.64,3.6011405398059297,15010.92,2,2.0,7.0,False,0.0,Nowa Huta,2026-08-05
ID4zeaq,1061752,13.875430931856345,71.73,4.272909070138343,14802.06,4,0.0,1.0,True,0.0,nieznana,2026-08-05
ID4xpxO,694035,13.450277670493934,51.41,3.9398327060674134,13500.0,3,2.0,3.0,False,0.0,Wzgórza Krzesławickie,2026-08-05
ID4wKWh,798606,13.590622986731043,57.87,4.058199115585747,13800.0,3,0.0,5.0,True,0.0,Prądnik Biały,2026-08-05
ID4x6jp,538524,13.19658734283057,42.74,3.755135249891002,12600.0,2,0.0,4.0,True,0.0,Podgórze,2026-08-05
ID4BNAc,680000,13.42984807715229,50.9,3.929862923556477,13359.53,2,1.0,4.0,False,0.0,Podgórze Duchackie,2026-08-05
ID4zeax,1093424,13.904824615083246,73.88,4.302442155331039,14800.0,4,1.0,1.0,False,1.0,nieznana,2026-08-05
ID4Ctbr,647970,13.38159967796641,29.0,3.367295829986474,22343.79,2,2.0,7.0,False,0.0,Podgórze,2026-08-05
ID4Cfpo,499000,13.120361374733656,39.87,3.685624161393263,12515.68,2,0.0,2.0,True,0.0,Dębniki,2026-08-05
ID4BRN3,1270000,14.054527458434777,60.0,4.0943445622221,21166.67,3,5.0,8.0,False,0.0,Bronowice,2026-08-05
ID4CrwH,1075000,13.8878312195439,66.0,4.189654742026425,16287.88,2,0.0,4.0,True,0.0,Krowodrza,2026-08-05
ID4zFaC,749000,13.526494262499355,40.0,3.688879454113936,18725.0,2,2.0,4.0,False,0.0,Podgórze,2026-08-05
ID1bzlKM,749650,13.52736170992305,51.7,3.945457781514384,14500.0,3,3.0,,False,,Krowodrza,2026-08-05
ID4CrCa,599000,13.303016877097589,53.46,3.978933710710773,11204.64,5,0.0,1.0,True,0.0,Dębniki,2026-08-05
ID4BKlv,2325000,14.659230597003594,124.5,4.824305715904762,18674.7,3,1.0,5.0,False,0.0,nieznana,2026-08-05
ID4BKNS,930000,13.742939865129438,32.88,3.492864570187979,28284.67,2,6.0,8.0,False,0.0,Dębniki,2026-08-05
ID4BXIJ,1170000,13.972514306773938,102.12,4.6261485923732835,11457.11,6,2.0,3.0,False,0.0,Prądnik Biały,2026-08-05
ID1b7FAr,1400000,14.151982794585487,63.0,4.143134726391533,22222.22,3,3.0,,False,,Prądnik Biały,2026-08-05
ID4CfW7,499000,13.120361374733656,25.0,3.218875824868201,19960.0,1,3.0,4.0,False,0.0,Prądnik Czerwony,2026-08-05
ID4BVMe,749000,13.526494262499355,38.0,3.6375861597263857,19710.53,2,3.0,7.0,False,0.0,nieznana,2026-08-05
ID1bvHhx,720000,13.487006490992238,50.06,3.913222286003628,14382.74,3,2.0,,False,,Swoszowice,2026-08-05
ID1bwW1S,570000,13.253391639810731,36.0,3.58351893845611,15833.33,1,7.0,,False,,Dębniki,2026-08-05
ID1bzsg4,699000,13.457406021215949,49.49,3.901770628963795,14124.07,3,2.0,,False,,Swoszowice,2026-08-05
